iteration,design,reward,best_reward,CL,CDi,CM,L_D
58,design_58,16.852197,4016.009039,0.122758,0.005504,-0.106286,22.3022
59,design_59,1.969001,4016.009039,-0.042839,-0.005774,0.058708,7.4190
60,design_60,27.834731,4016.009039,0.061856,0.001858,-0.038933,33.2847
61,design_61,15.931202,4016.009039,0.110173,0.005153,-0.105572,21.3812
62,design_62,17.920440,4016.009039,0.146204,0.006256,-0.078471,23.3704
63,design_63,-5.481475,4016.009039,0.000285,-0.009051,0.041421,-0.0315
64,design_64,-21.127257,4016.009039,0.022924,-0.001462,-0.003814,-15.6773
65,design_65,-5.069647,4016.009039,0.001393,0.003662,-0.008066,0.3804
66,design_66,-48.989687,4016.009039,-0.021515,0.000494,0.023683,-43.5397
67,design_67,-4.703302,4016.009039,-0.006577,-0.008808,0.036780,0.7467
68,design_68,2.171054,4016.009039,0.089563,0.011752,-0.094368,7.6211
69,design_69,0.077407,4016.009039,0.043005,0.007780,-0.061781,5.5274
70,design_70,-0.730184,4016.009039,-0.023094,-0.004893,0.041922,4.7198
71,design_71,4.158578,4016.009039,0.122840,0.012784,-0.131787,9.6086
72,design_72,0.107946,4016.009039,-0.016617,-0.002990,0.025196,5.5579
73,design_73,-126.944514,4016.009039,-0.046911,0.000386,0.045972,-121.4945
74,design_74,10.630044,4016.009039,0.039528,0.002458,-0.009515,16.0800
75,design_75,13.668724,4016.009039,0.084703,0.004430,-0.065844,19.1187
76,design_76,18.083640,4016.009039,0.045794,0.001946,-0.043657,23.5336
77,design_77,-3.090406,4016.009039,-0.038187,-0.016184,0.125564,2.3596
78,design_78,-1.094468,4016.009039,-0.009257,-0.002125,0.016886,4.3555
79,design_79,-6.713346,4016.009039,0.000822,-0.000651,0.005487,-1.2633
80,design_80,-12.305392,4016.009039,0.019971,-0.002913,0.010834,-6.8554
81,design_81,60.571196,4016.009039,-0.139826,-0.002118,0.152114,66.0212
82,design_82,8.136869,4016.009039,0.020697,0.001523,0.015656,13.5869
83,design_83,5.017408,4016.009039,0.157748,0.015070,-0.144718,10.4674
84,design_84,10.940127,4016.009039,0.095749,0.005842,-0.098616,16.3901
85,design_85,320.912251,4016.009039,-0.127623,-0.000391,0.169112,326.3623
86,design_86,4.386805,4016.009039,-0.081361,-0.008271,0.147076,9.8368
87,design_87,-9.847353,4016.009039,0.013441,-0.003057,0.001902,-4.3974
88,design_88,20.599693,4016.009039,-0.295972,-0.011362,0.364612,26.0497
89,design_89,45.367846,4016.009039,-0.075441,-0.001485,0.095380,50.8178
90,design_90,2.108690,4016.009039,-0.146140,-0.019334,0.207955,7.5587
91,design_91,-5.510419,4016.009039,0.000528,-0.008742,0.031893,-0.0604
92,design_92,4.614742,4016.009039,0.113893,0.011316,-0.148476,10.0647
93,design_93,4.469469,4016.009039,0.091420,0.009216,-0.112053,9.9195
94,design_94,23.061346,4016.009039,0.129329,0.004536,-0.130752,28.5113
95,design_95,48.432162,4016.009039,-0.051667,-0.000959,0.087945,53.8822
96,design_96,1.004071,4016.009039,-0.036436,-0.005646,0.050614,6.4541
97,design_97,4.288284,4016.009039,0.268178,0.027539,-0.265894,9.7383
98,design_98,8.220965,4016.009039,0.037307,0.002729,-0.009778,13.6710
99,design_99,6.860621,4016.009039,-0.178001,-0.014459,0.269098,12.3106
100,design_100,7.198217,4016.009039,0.245207,0.019387,-0.224106,12.6482
101,design_101,5.888414,4016.009039,-0.048740,-0.004299,0.068897,11.3384
102,design_102,0.239389,4016.009039,-0.021344,-0.003752,0.045016,5.6894
103,design_103,-4.438429,4016.009039,-0.006720,-0.006643,0.046661,1.0116
104,design_104,25.166696,4016.009039,0.054637,0.001785,-0.048142,30.6167
105,design_105,-12.579739,4016.009039,0.036917,-0.005178,-0.004185,-7.1297
106,design_106,118.470537,4016.009039,-0.031814,-0.000257,0.040787,123.9205
107,design_107,7.774511,4016.009039,0.176507,0.013347,-0.155474,13.2245
108,design_108,2.773001,4016.009039,-0.029045,-0.003532,0.041230,8.2230
109,design_109,12.325919,4016.009039,0.148661,0.008363,-0.133601,17.7759
110,design_110,22.559413,4016.009039,-0.118170,-0.004219,0.176674,28.0094
111,design_111,2.148876,4016.009039,-0.033913,-0.004463,0.058781,7.5989
112,design_112,17.932872,4016.009039,-0.100035,-0.004278,0.120802,23.3829
113,design_113,2.587791,4016.009039,-0.086468,-0.010758,0.109969,8.0378
114,design_114,-191.713871,4016.009039,0.050400,-0.000271,-0.031808,-186.2639
115,design_115,1.076665,4016.009039,-0.020172,-0.003091,0.028983,6.5267
116,design_116,-1.747690,4016.009039,-0.051463,-0.013900,0.086131,3.7023
117,design_117,12.906947,4016.009039,0.020642,0.001124,-0.019205,18.3569
118,design_118,0.188729,4016.009039,0.034819,0.006175,-0.050007,5.6387
119,design_119,1.527705,4016.009039,0.011854,0.001699,0.052413,6.9777
120,design_120,1.674586,4016.009039,-0.091468,-0.012838,0.155822,7.1246
121,design_121,-1.459263,4016.009039,-0.046754,-0.011716,0.095977,3.9907
122,design_122,20.580329,4016.009039,0.109262,0.004197,-0.107810,26.0303
123,design_123,14.540618,4016.009039,-0.274792,-0.013746,0.346882,19.9906
124,design_124,13.179113,4016.009039,0.178971,0.009607,-0.147371,18.6291
125,design_125,-0.839083,4016.009039,-0.138582,-0.030055,0.204621,4.6109
126,design_126,-1.603096,4016.009039,0.121731,0.031644,-0.064581,3.8469
127,design_127,-8.553900,4016.009039,0.019517,-0.006288,0.012338,-3.1039
128,design_128,20.376848,4016.009039,-0.050997,-0.001975,0.093743,25.8268
129,design_129,-0.539602,4016.009039,-0.142720,-0.029065,0.224697,4.9104
130,design_130,0.440987,4016.009039,0.524014,0.088952,-0.538664,5.8910
131,design_131,7.985392,4016.009039,0.086513,0.006439,-0.062090,13.4354
132,design_132,-5.225543,4016.009039,-0.003203,-0.014270,0.057077,0.2245
133,design_133,44.844925,4016.009039,-0.077804,-0.001547,0.114435,50.2949
134,design_134,-43.401683,4016.009039,0.034064,-0.000898,-0.005804,-37.9517
135,design_135,-29.494720,4016.009039,0.035685,-0.001484,-0.021775,-24.0447
136,design_136,-310.527836,4016.009039,-0.107724,0.000353,0.156013,-305.0778
137,design_137,6.673188,4016.009039,-0.118810,-0.009800,0.146050,12.1232
138,design_138,-0.214665,4016.009039,-0.045955,-0.008778,0.094658,5.2353
139,design_139,8.920334,4016.009039,-0.151847,-0.010567,0.212130,14.3703
140,design_140,-0.094359,4016.009039,-0.040305,-0.007526,0.111267,5.3556
141,design_141,4.826782,4016.009039,0.126311,0.012291,-0.102901,10.2768
142,design_142,3.453124,4016.009039,0.070688,0.007940,-0.018845,8.9031
143,design_143,18.389297,4016.009039,0.217337,0.009117,-0.195408,23.8393
144,design_144,-92.698030,4016.009039,0.090271,-0.001035,-0.059015,-87.2480
145,design_145,26.621793,4016.009039,0.152637,0.004759,-0.151967,32.0718
146,design_146,269.892191,4016.009039,-0.057313,-0.000208,0.067508,275.3422
147,design_147,6.723098,4016.009039,0.104972,0.008623,-0.133217,12.1731
148,design_148,8.288542,4016.009039,0.098373,0.007160,-0.077760,13.7385
149,design_149,1.643376,4016.009039,-0.070084,-0.009880,0.093400,7.0934
150,design_150,18.185079,4016.009039,0.080352,0.003400,-0.083049,23.6351
151,design_151,5.685166,4016.009039,-0.068573,-0.006158,0.138517,11.1352
152,design_152,-8.837639,4016.009039,0.008529,-0.002518,0.005215,-3.3876
153,design_153,-53.299218,4016.009039,-0.104863,0.002192,0.110202,-47.8492
154,design_154,-17.308433,4016.009039,0.018440,-0.001555,-0.003702,-11.8584
155,design_155,-1.773007,4016.009039,-0.043463,-0.011820,0.101655,3.6770
156,design_156,-19.247611,4016.009039,0.055239,-0.004003,0.023783,-13.7976
157,design_157,2.445057,4016.009039,-0.124157,-0.015726,0.155611,7.8951
158,design_158,-4.151004,4016.009039,-0.003838,-0.002955,0.015614,1.2990
159,design_159,-2.967241,4016.009039,-0.040321,-0.016240,0.090383,2.4828
160,design_160,1.868195,4016.009039,-0.155381,-0.021232,0.225801,7.3182
161,design_161,-52.155894,4016.009039,0.068493,-0.001466,-0.043631,-46.7059
162,design_162,9.291917,4016.009039,0.035439,0.002404,-0.037922,14.7419
163,design_163,3.894877,4016.009039,-0.120044,-0.012846,0.149111,9.3449
164,design_164,66.993948,4016.009039,-0.166719,-0.002301,0.187115,72.4439
165,design_165,-1.658300,4016.009039,0.304935,0.080422,-0.316313,3.7917
166,design_166,-17.329831,4016.009039,0.044553,-0.003750,0.003681,-11.8798
167,design_167,-1.995518,4016.009039,0.033361,0.009657,0.063365,3.4545
168,design_168,25.259598,4016.009039,-0.092657,-0.003017,0.145716,30.7096
169,design_169,8.682266,4016.009039,0.134227,0.009498,-0.088064,14.1323
170,design_170,0.508097,4016.009039,-0.098238,-0.016488,0.176778,5.9581
171,design_171,4.591653,4016.009039,-0.079463,-0.007913,0.122057,10.0417
172,design_172,8.357445,4016.009039,-0.107726,-0.007802,0.129515,13.8074
173,design_173,-4.344189,4016.009039,-0.004313,-0.003900,0.028599,1.1058
174,design_174,284.327364,4016.009039,0.074350,0.000257,-0.048668,289.7774
175,design_175,-41.950129,4016.009039,0.044784,-0.001227,-0.026382,-36.5001
176,design_176,24.359701,4016.009039,0.105740,0.003547,-0.093720,29.8097
177,design_177,-2.768335,4016.009039,-0.036590,-0.013645,0.083501,2.6817
178,design_178,-44.254244,4016.009039,0.050886,-0.001311,-0.023584,-38.8042
179,design_179,-38.761034,4016.009039,-0.054860,0.001647,0.056898,-33.3110
180,design_180,13.831169,4016.009039,0.224849,0.011662,-0.224740,19.2812
181,design_181,-1.798915,4016.009039,0.236386,0.064744,-0.156144,3.6511
182,design_182,4.891288,4016.009039,-0.065274,-0.006312,0.130356,10.3413
183,design_183,-0.959061,4016.009039,0.375191,0.083544,-0.365681,4.4909
184,design_184,7.222508,4016.009039,-0.037659,-0.002972,0.090053,12.6725
185,design_185,-0.613131,4016.009039,0.372754,0.077065,-0.356527,4.8369
186,design_186,3.605969,4016.009039,0.139752,0.015432,-0.116212,9.0560
187,design_187,3.215436,4016.009039,-0.138213,-0.015950,0.174910,8.6654
188,design_188,187.959646,4016.009039,-0.114707,-0.000593,0.154312,193.4096
189,design_189,0.914159,4016.009039,-0.022585,-0.003549,0.050375,6.3642
190,design_190,13.076652,4016.009039,0.105264,0.005682,-0.078281,18.5267
191,design_191,-41.948461,4016.009039,0.092025,-0.002521,-0.043527,-36.4985
192,design_192,107.843643,4016.009039,-0.153046,-0.001351,0.200858,113.2936
193,design_193,-0.965439,4016.009039,-0.023066,-0.005143,0.047285,4.4846
194,design_194,-31.923840,4016.009039,-0.045107,0.001704,0.045703,-26.4738
195,design_195,-1.386626,4016.009039,-0.041024,-0.010096,0.097502,4.0634
196,design_196,-1.903969,4016.009039,-0.037117,-0.010467,0.068338,3.5460
197,design_197,-8.030313,4016.009039,0.006892,-0.002671,0.007593,-2.5803
198,design_198,2.872811,4016.009039,0.173290,0.020821,-0.148815,8.3228
199,design_199,-25.606348,4016.009039,-0.037522,0.001862,0.039394,-20.1563
